"name","price","url"
"Cabo de Impressora MD9 1.8 Metros USB A Macho Para USB B Macho","R$ 12,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-18-metros-usb-a-macho-para-usb-b-macho-5368"
"Cabo de Impressora MD9 1.8M USB A Macho Para USB B Macho","R$ 11,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-18m-usb-a-macho-para-usb-b-macho-5365"
"Cabo de Impressora MD9 3 Metros USB A Macho Para USB B Macho","R$ 19,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-3-metros-usb-a-macho-para-usb-b-macho-5366"
"Cabo de Impressora MD9 5 Metros USB A Macho Para USB B Macho","R$ 24,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-5-metros-usb-a-macho-para-usb-b-macho-5367"
"Cabo de Impressora MD9 USB 3.0 1.5 Metros Para USB B Macho","R$ 29,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-usb-30-15-metros-para-usb-b-macho-5369"
"Cabo de Impressora MD9 USB 3.0 3 Metros USB B Macho","R$ 19,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-usb-30-3-metros-usb-b-macho-5370"
"Cabo de Rede Force Line Com Plug RJ-45 10 Metros","R$ 42,90","https://www.portinfo.com.br/produto/cabo-de-rede-force-line-com-plug-rj-45-10-metros-2959"
"Cabo de Rede Force Line Com Plug RJ-45 2 Metros","R$ 11,90","https://www.portinfo.com.br/produto/cabo-de-rede-force-line-com-plug-rj-45-2-metros-2551"
"Cabo de Rede Force Line Com Plug RJ-45 5 Metros","R$ 20,90","https://www.portinfo.com.br/produto/cabo-de-rede-force-line-com-plug-rj-45-5-metros-2552"
"Cabo de Rede MD9 1.5 Metros CAT6","R$ 13,90","https://www.portinfo.com.br/produto/cabo-de-rede-md9-15-metros-cat6-5360"
"Cabo de Rede MD9 3 Metros CAT6","R$ 21,90","https://www.portinfo.com.br/produto/cabo-de-rede-md9-3-metros-cat6-5361"
"Cabo de Rede MD9 5 Metros CAT6","R$ 28,90","https://www.portinfo.com.br/produto/cabo-de-rede-md9-5-metros-cat6-5362"
"Cabo de Vídeo DVI Mymax Macho / Macho 1.2M","R$ 10,90","https://www.portinfo.com.br/produto/cabo-de-video-dvi-mymax-macho-macho-12m-1088"
"Cabo Dinamic Branco Lightning Tipo C 1 Metro GS-3682 GShield","R$ 55,90","https://www.portinfo.com.br/produto/cabo-dinamic-branco-lightning-tipo-c-1-metro-gs-3682-gshield-5673"
"Cabo Dinamic Branco Lightning USB 2 Metros GS-3159 GShield","R$ 37,90","https://www.portinfo.com.br/produto/cabo-dinamic-branco-lightning-usb-2-metros-gs-3159-gshield-5671"
